district_code,district_name_ar,district_name_en,villas,apartments,total_residential,villa_pct,apartment_pct,building_type
099,الملك فيصل,KING FAISAL,3210,0,3210,100.0,0.0,VILLA-HEAVY
005,الملك فهد,KING FAHD,3086,0,3086,100.0,0.0,VILLA-HEAVY
023,الصفا,AS-SAFA,646,2348,2994,21.6,78.4,APARTMENT-HEAVY
086,النفل,AN-NAFEL,2231,762,2993,74.5,25.5,VILLA-HEAVY
083,الندى,AN-NADA,2487,452,2939,84.6,15.4,VILLA-HEAVY
047,المنصورة (خنشليلة),AL-MANSURAH ( KHANSHALILAH ),2921,7,2928,99.8,0.2,VILLA-HEAVY
235,الراية,Al Rayah,2836,0,2836,100.0,0.0,VILLA-HEAVY
009,الورود,AL-WOROUD,2830,1,2831,100.0,0.0,VILLA-HEAVY
117,المناخ,AL-MANAKH,1613,1210,2823,57.1,42.9,VILLA-HEAVY
101,المعيزيلة,AL-MAIZALIYAH,2123,642,2765,76.8,23.2,VILLA-HEAVY
071,أم الحمام الغربي,WEST UMM AL HAMAM,2679,57,2736,97.9,2.1,VILLA-HEAVY
137,لبن,LABAN,2684,0,2684,100.0,0.0,VILLA-HEAVY
231,الزهور,Al Zahour,2439,0,2439,100.0,0.0,VILLA-HEAVY
003,التعاون,AT-TAAWUN,2422,0,2422,100.0,0.0,VILLA-HEAVY
135,أحد,OHOD,2404,0,2404,100.0,0.0,VILLA-HEAVY
088,الفلاح,AL-FALAH,2404,0,2404,100.0,0.0,VILLA-HEAVY
001,المروج,AL-MUROOJ,2369,5,2374,99.8,0.2,VILLA-HEAVY
012,الملك عبدالله,KING ABDULLAH,1911,280,2191,87.2,12.8,VILLA-HEAVY
022,جرير,JAREER,2151,24,2175,98.9,1.1,VILLA-HEAVY
068,المحمدية,AL-MUHAMMADIYAH,2082,2,2084,99.9,0.1,VILLA-HEAVY
072,أم الحمام الشرقي,EAST UMM AL-HAMAM,2083,0,2083,100.0,0.0,VILLA-HEAVY
085,الغدير,AL-GHADEER,1062,998,2060,51.6,48.4,VILLA-HEAVY
106,المنار,AL-MANAR,2012,1,2013,100.0,0.0,VILLA-HEAVY
007,النزهة,AL-NUZHA,1968,20,1988,99.0,1.0,VILLA-HEAVY
028,الفاروق,AL-FARUQ,328,1651,1979,16.6,83.4,APARTMENT-HEAVY
004,الإزدهار,AL-EZDIHAR,1967,5,1972,99.7,0.3,VILLA-HEAVY
045,اليمامة,AL-YAMAMAH,1950,0,1950,100.0,0.0,VILLA-HEAVY
120,الإسكان,AL-ISKAN,1912,0,1912,100.0,0.0,VILLA-HEAVY
236,الفرسان,Al Fursan,1886,0,1886,100.0,0.0,VILLA-HEAVY
232,الرسالة,Al Risalah,1833,0,1833,100.0,0.0,VILLA-HEAVY
054,الرفيعة,AR-RAFEAH,1643,190,1833,89.6,10.4,VILLA-HEAVY
046,منفوحة,MANFUHA,1824,0,1824,100.0,0.0,VILLA-HEAVY
064,سلطانة,SULTANAH,1757,1,1758,99.9,0.1,VILLA-HEAVY
043,الخالدية,AL-KHALIDIAH,1702,0,1702,100.0,0.0,VILLA-HEAVY
159,الشهداء,ASH-SHOHDA,1645,0,1645,100.0,0.0,VILLA-HEAVY
016,الوزارات,AL-WIZARAT,1591,0,1591,100.0,0.0,VILLA-HEAVY
038,العود,AL-AOUD,1569,0,1569,100.0,0.0,VILLA-HEAVY
070,الرحمانية,AR-RAHMANIYAH,1542,0,1542,100.0,0.0,VILLA-HEAVY
051,المعذر الشمالي, NORTH AL-MATHAR,1539,2,1541,99.9,0.1,VILLA-HEAVY
006,المرسلات,AL-MURSALAT,1528,7,1535,99.5,0.5,VILLA-HEAVY
092,غرناطة,GHIRNATAH,1399,119,1518,92.2,7.8,VILLA-HEAVY
042,غبيرا,GHUBAIRA,1513,0,1513,100.0,0.0,VILLA-HEAVY
153,الخزامى,AL-KHUZAMA,1500,0,1500,100.0,0.0,VILLA-HEAVY
044,الفيصلية,AL-FAISALIYAH,1469,2,1471,99.9,0.1,VILLA-HEAVY
020,المربع,AL-MURABA,1284,1,1285,99.9,0.1,VILLA-HEAVY
061,البديعة,AL-BADEAH,1042,195,1237,84.2,15.8,VILLA-HEAVY
053,الشرفية,ASH-SHARAFIYAH,1219,7,1226,99.4,0.6,VILLA-HEAVY
049,الهدا,AL-HADA,831,392,1223,67.9,32.1,VILLA-HEAVY
132,المروة,AL-MARWAH,1206,0,1206,100.0,0.0,VILLA-HEAVY
